"N_subj","N_obs","cell_1","cell_2","alpha","beta","run","grand_mean","model_effect","model_se","singular","conv_error","BF","BF_cat"
40,20,0,0.2,0.1,0.2,9,0.121215278633542,0.200416298872819,0.218524447619141,"N","N",1.29774401127057,5
40,20,0,0.2,0.1,0.2,10,0.138571941020727,0.016776677634287,0.159766765022592,"Y","N",0.799164916960105,5
40,20,0,0.2,0.1,0.2,11,-0.0376752467369674,-0.0711277129627298,0.155161124356467,"N","N",0.893056964726559,5
40,20,0,0.2,0.1,0.2,12,0.233125855329875,0.359731355074721,0.213132195432123,"N","N",2.62298099176869,5
40,20,0,0.2,0.1,0.2,13,0.127131888368431,-0.0689444615150299,0.216082675588751,"N","N",0.761481881306339,5
40,20,0,0.2,0.1,0.2,14,0.190321871542321,0.422347424017969,0.223890146470129,"N","N",2.86154317093154,5
40,20,0,0.2,0.1,0.2,15,0.0491810644306513,0.327854059945364,0.209726565540658,"N","N",1.32758763828775,5
40,20,0,0.2,0.1,0.2,16,0.00616055844378358,0.162152425967634,0.183663669068979,"N","N",1.02343786011151,5
40,20,0,0.2,0.1,0.2,17,0.143380645438816,0.0747631624438177,0.161572487942068,"N","N",0.97329744478178,5
40,20,0,0.2,0.1,0.2,18,0.110510586693932,0.366272648360512,0.200381718850645,"N","N",2.09557350869266,5
40,20,0,0.2,0.1,0.2,19,0.027067591468621,-0.0311340268360424,0.196714488809151,"N","N",0.973892510159892,5
40,20,0,0.2,0.1,0.2,20,0.0625996122779058,0.394565539993694,0.255363572701768,"N","N",1.33820860887151,5
40,20,0,0.3,0.15,0.3,1,0.101774484818485,0.309312407544896,0.191845369254107,"N","N",1.82009912477617,5
40,20,0,0.3,0.15,0.3,2,0.00969412965519982,0.35308690262337,0.177951976906173,"N","N",1.09085597345301,5
40,20,0,0.3,0.15,0.3,3,0.0642274349466723,0.154371049773496,0.220030393689287,"N","N",1.13093631745552,5
40,20,0,0.3,0.15,0.3,4,0.250439369201712,0.237890099775619,0.203823934419222,"Y","N",1.55546334829549,5
40,20,0,0.3,0.15,0.3,5,0.242494941606358,0.357654075790734,0.160124350583249,"N","N",6.07549537213796,6
40,20,0,0.3,0.15,0.3,6,0.172048588279285,0.472535334883964,0.243733762932642,"N","N",2.65365196958788,5
40,20,0,0.3,0.15,0.3,7,-0.00910360934351899,0.455686647681,0.230262042083308,"N","N",1.06486409627833,5
40,20,0,0.3,0.15,0.3,8,0.136760955802212,0.188484834574756,0.197400751588646,"N","N",1.34761432950725,5
40,20,0,0.3,0.15,0.3,9,0.0138349905868947,0.620956397860229,0.240384499361797,"N","N",1.12825243439657,5
40,20,0,0.3,0.15,0.3,10,0.245787224765583,0.408811406811168,0.188249888992929,"N","N",5.13956606662005,6
40,20,0,0.3,0.15,0.3,11,0.268422597428972,0.475858871475357,0.182556847382683,"N","N",11.3195161114386,7
40,20,0,0.3,0.15,0.3,12,0.0328486840625358,0.571824509472571,0.198960500979375,"N","N",1.49663431483634,5
40,20,0,0.3,0.15,0.3,13,0.124927162267042,0.249757116466092,0.163206875975232,"Y","N",2.01455655734503,5
40,20,0,0.3,0.15,0.3,14,0.112030065586208,0.204822844678535,0.183954070740935,"N","N",1.45282828089073,5
40,20,0,0.3,0.15,0.3,15,0.200651871715486,0.252233412738744,0.193314079439122,"N","N",1.7845085019517,5
40,20,0,0.3,0.15,0.3,16,0.0470742933245742,0.455205089573635,0.163049486123764,"Y","N",2.0224979776049,5
40,20,0,0.3,0.15,0.3,17,0.0269580978464956,0.0916186190063258,0.196583392730074,"N","N",1.04275020808263,5
40,20,0,0.3,0.15,0.3,18,0.209637521741725,-0.181956221921028,0.168183527806177,"N","N",0.357518820791998,5
40,20,0,0.3,0.15,0.3,19,0.110717846157974,0.218572145824084,0.212228838688817,"N","N",1.35607368760133,5
40,20,0,0.3,0.15,0.3,20,0.173364177497676,0.305304777955633,0.220117448998547,"N","N",1.82536754913222,5
40,20,0,0.4,0.2,0.4,1,0.217395827954238,0.225808714179458,0.196743620193855,"N","N",1.54600026664036,5
40,20,0,0.4,0.2,0.4,2,0.0908199808183569,0.119735451209519,0.229765276663022,"N","N",1.0912827343095,5
40,20,0,0.4,0.2,0.4,3,0.258159481993378,0.831469534908958,0.220697776695355,"N","N",78.1206007534344,8
40,20,0,0.4,0.2,0.4,4,0.135180554732462,0.331389502481211,0.196928410000343,"N","N",2.15038605119665,5
40,20,0,0.4,0.2,0.4,5,0.159712137057459,0.153802467603951,0.206481158509421,"N","N",1.18556650816919,5
40,20,0,0.4,0.2,0.4,6,0.200880632299649,0.565322565396358,0.182911709678163,"N","N",18.163521509252,7
40,20,0,0.4,0.2,0.4,7,0.203399307833886,0.44598421392954,0.212500487176865,"N","N",3.83177292982706,6
40,20,0,0.4,0.2,0.4,8,0.0442942769876359,0.572459281628947,0.264406773308357,"N","N",1.34592113844581,5
40,20,0,0.4,0.2,0.4,9,0.0995917381178601,0.565946738168568,0.177288188379581,"N","N",5.56100798881505,6
40,20,0,0.4,0.2,0.4,10,0.232471954112408,0.37852019557075,0.235076789940224,"N","N",2.34921194591147,5
40,20,0,0.4,0.2,0.4,11,0.144898063493601,0.460867895910885,0.206261864768354,"N","N",3.36697973628693,6
40,20,0,0.4,0.2,0.4,12,0.301731658113343,0.262959917250731,0.204113688139246,"N","N",1.69572506689584,5
40,20,0,0.4,0.2,0.4,13,0.285475574952735,0.528870322442915,0.219993862583588,"N","N",7.28179379858277,6
40,20,0,0.4,0.2,0.4,14,0.0903101754328061,0.200336699732477,0.221683002094323,"N","N",1.24393662366015,5
40,20,0,0.4,0.2,0.4,15,0.321516175650283,0.624041498154421,0.204757251627077,"N","N",29.0456649766154,7
40,20,0,0.4,0.2,0.4,16,0.255492097851575,0.305192400848013,0.183242327988612,"N","N",2.65988180441708,5
