"N_subj","N_obs","cell_1","cell_2","alpha","beta","run","grand_mean","model_effect","model_se","BF_1","BF_2","BF_1_cat","BF_2_cat"
40,20,3,1,2,-2,4,1.96974385587345,-1.91719696769965,0.274130887123109,0.0176083452105978,0.0346524014640176,2,3
40,20,3,1,2,-2,5,2.28271191651675,-2.58420182336222,0.336705140348743,0.0131990312567003,0.0334812134792029,2,3
40,20,3,1,2,-2,6,1.88576052831799,-1.93826123451934,0.361912495326299,0.029636395109097,0.0392141187376708,2,3
40,20,3,1,2,-2,7,2.04802865717969,-1.5740549858593,0.369167204130588,0.0301788732929775,0.0451243101660718,2,3
40,20,3,1,2,-2,8,1.92641094119025,-1.92200698859016,0.320097807048789,0.0196025867705918,0.034542111015543,2,3
40,20,3,1,2,-2,9,1.92193185995358,-2.15286400084357,0.280113393754291,0.0169299309477887,0.0387748969077807,2,3
40,20,3,1,2,-2,10,2.00364351529786,-2.1028454106919,0.2814621607321,0.0167913629034458,0.0330447441224252,2,2
40,20,3,2,2.5,-1,1,2.18168719494827,-1.42945075221384,0.265312416411033,0.019465724445929,0.0253667825776227,2,2
40,20,3,2,2.5,-1,2,2.7805928524122,-0.941007721841377,0.483604353013225,0.0613344078723126,0.0514124733898642,3,3
40,20,3,2,2.5,-1,3,2.58869850542707,-1.419905364759,0.463055263497813,0.0445042908479668,0.0357358653903767,3,3
40,20,3,2,2.5,-1,4,2.71044286828048,-1.55753379282304,0.509539062739063,0.0429661682681651,0.0299871875293359,3,2
40,20,3,2,2.5,-1,5,2.541238118419,-0.806430083428178,0.31225245562179,0.0318848649318451,0.0389636714120047,2,3
40,20,3,2,2.5,-1,6,2.27592885845908,-1.03249319931478,0.338764116563183,0.0337388676878617,0.0316741766599779,3,2
40,20,3,2,2.5,-1,7,2.38276351657691,-0.79674361932656,0.294505616343936,0.0308153351067036,0.0364020110734322,2,3
40,20,3,2,2.5,-1,8,2.43762400540785,-1.26948361818955,0.309258183569889,0.0253812511302095,0.0246088811597172,2,2
40,20,3,2,2.5,-1,9,2.41438972682317,-0.805424798434537,0.293556700113974,0.0337742260885848,0.0301046215577844,3,2
40,20,3,2,2.5,-1,10,3.08909414247306,-2.26015884600138,0.752832296951919,0.0570682788675059,0.0332359025175516,3,2
40,20,3,3,3,0,1,2.96323070113472,-0.568357517504414,0.434675056526512,0.0674820040694486,0.0685276446609192,3,3
40,20,3,3,3,0,2,3.18361968289208,0.469228236439436,0.509655610220591,0.389880362553589,0.205641090495985,5,4
40,20,3,3,3,0,3,2.82587101385366,0.354307050199332,0.412056069441825,0.333943836088337,0.353478558526796,5,5
40,20,3,3,3,0,4,2.99521157257695,-0.665690501079751,0.39726129250691,0.0524253456134745,0.0466040644549731,3,3
40,20,3,3,3,0,5,2.92932005650191,0.594391655698003,0.338812709385644,1.00639906180561,1.10522403793474,5,5
40,20,3,3,3,0,6,3.24781036780664,0.145726508896677,0.486600974189441,0.192477652200234,0.228475269697773,4,4
40,20,3,3,3,0,7,3.14921785958991,-0.385077617625941,0.489301312305137,0.0889242442185118,0.0899362056212296,3,3
40,20,3,3,3,0,8,2.76110324628962,0.210367123346016,0.378835958475763,0.222649649116913,0.279973681903519,4,4
40,20,3,3,3,0,9,2.76614255898396,-0.570509785983277,0.392917132582759,0.0613935080693527,0.0588871144567181,3,3
40,20,3,3,3,0,10,2.85721623381385,0.0456943022518553,0.40666169154209,0.152649542359878,0.106569311772589,4,4
