"N_subj","N_obs","cell_1","cell_2","cell_3","cell_4","alpha","beta1","beta2","beta3","run","model_grand_mean","model_beta1","model_beta3","model_beta3_se","singular","conv_error","BF_GM","BF_GM_cat","BF_ME","BF_ME_cat"
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,5,0.317693270684703,2.82607134176219,-0.0843103559949458,0.40952689672682,"N","N",0.473325085360247,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,6,0.389849050426239,2.82607134176219,0.144659485554632,0.341198467157186,"Y","N",0.563859385437192,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,7,0.200820558438518,2.82607134176219,-0.459647154966177,0.435534695038574,"N","N",0.449301115121423,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,8,0.205950281141104,2.82607134176219,0.700533643616231,0.392596161565517,"N","N",2.86181710917769,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,9,0.28432599734646,2.82607134176219,-0.128748582645856,0.344431853355105,"N","N",0.407302939695213,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,10,0.269300629383516,2.82607134176219,-0.089073125514959,0.3961436329711,"N","N",0.516692186970921,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,11,0.437872382294392,2.82607134176219,0.483637846727392,0.376865055926576,"N","N",1.39568821544219,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,12,0.236118563984841,2.82607134176219,0.622101385392904,0.339177942904278,"N","N",3.30234423759611,6,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,13,0.304848097345174,2.82607134176219,0.409140976641764,0.385085148254223,"N","N",1.30321160964829,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,14,0.440900668584159,2.82607134176219,0.788806038137832,0.38509083069999,"N","N",4.5131472735339,6,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,15,0.435750932554706,2.82607134176219,0.869846116582585,0.487824138143226,"N","N",3.08546897519689,6,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,16,0.420849228125563,2.82607134176219,0.186817206090389,0.443698248678595,"N","N",0.645694105193805,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,17,0.398985585522676,2.82607134176219,0.979625787251166,0.371233367689643,"N","N",14.6679325070211,7,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,18,0.193966268921729,2.82607134176219,0.630453762215637,0.384313250071283,"N","N",2.4345316726757,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,19,0.210554045093644,2.82607134176219,0.242005964268761,0.426919994912488,"N","N",1.00911387663165,5,"skip",NA
40,20,0.5,0.5,0,0.3,0.325,-0.35,0.15,0.3,20,0.117290133528094,2.82607134176219,0.259992737583094,0.357726855805451,"N","N",1.18544725030091,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,1,0.181613840411782,2.82607134176219,0.454670680382573,0.407482880165275,"N","N",1.51759296463408,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,2,0.411815403722765,2.82607134176219,1.01579662136044,0.416548710194808,"N","N",9.50878775075328,6,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,3,0.374143022102697,2.82607134176219,0.358647566088761,0.348511283524773,"N","N",1.07596669304099,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,4,0.305552542183212,2.82607134176219,0.242647089189487,0.365073134677345,"N","N",0.863795290299107,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,5,0.488022378136665,2.82607134176219,0.229387853669995,0.356931051854926,"Y","N",0.599887577901239,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,6,0.603969409710696,2.82607134176219,0.0527024564178187,0.489900452088338,"N","N",0.406515674410227,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,7,0.213757793325659,2.82607134176219,0.63021921820369,0.36711042589409,"N","N",2.74599513915579,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,8,0.265493154632044,2.82607134176219,-0.117346983262178,0.4324163719293,"N","N",0.537077840544236,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,9,0.335872594193759,2.82607134176219,0.31055554184377,0.309595760218557,"N","N",1.03811818821201,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,10,0.415582680973977,2.82607134176219,0.401534978343555,0.319434644420019,"N","N",1.25678740090821,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,11,0.297358207207992,2.82607134176219,1.49318645286333,0.477963317280189,"N","N",24.0690636001039,7,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,12,0.364425865259099,2.82607134176219,0.11793865570308,0.41861015623664,"N","N",0.612939956673477,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,13,0.422156342484706,2.82607134176219,-0.146082404630999,0.388462843936432,"N","N",0.325969036098917,4,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,14,0.283831342693559,2.82607134176219,-0.163949189516452,0.359955767286637,"N","N",0.405115903405553,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,15,0.3024585266609,2.82607134176219,0.325677318303214,0.379833833371018,"N","N",1.06047309067982,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,16,0.472476537444885,2.82607134176219,0.47785207883864,0.329851575622506,"Y","N",1.53670982705664,5,"skip",NA
40,20,0.5,0.5,0,0.4,0.35,-0.3,0.2,0.4,17,0.461137963866133,2.82607134176219,0.73612118346064,0.319914698472748,"Y","N",6.84722091885958,6,"skip",NA
